trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-40.890555140903004,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.95}",30,0,-32.709494171469586,"{0: 18, 1: 12, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.85}",20,0,-16.462270976516397,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7}",20,0,-8.742066208388849,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.49999999999999994}",25,0,-20.598585045383768,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.24999999999999994}",25,0,-21.897431634537185,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': -0.0500000000000001}",25,0,-21.470811598528762,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': -0.40000000000000013}",20,0,-43.312179180991585,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': -0.8000000000000002}",35,0,-35.886754849827376,"{0: 21, 1: 14, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': -1.2500000000000002}",20,0,-27.88722163620374,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': -1.7500000000000002}",20,0,-8.135980298063778,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': -2.3000000000000003}",20,0,-38.86795190373288,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': -2.9000000000000004}",30,0,-27.343961444197404,"{0: 19, 1: 11, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': -3.5500000000000003}",20,0,-34.98589527929994,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': -4.25}",30,0,-34.84352401928959,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': -5.0}",30,0,-57.83200794725351,"{0: 15, 1: 15, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': -5.8}",25,0,-46.77806959429069,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': -6.65}",20,0,-9.220145779229975,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': -7.550000000000001}",20,0,-20.36470013310783,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -8.5}",25,0,-25.000433659151977,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,0,-62.85829905098004,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,0,-44.16616706372951,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-35.9274278409748,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-20.964243700147467,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-0.8819089156160436,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-35.264461089878644,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-40.183410840213746,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-8.440198285425646,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,0,-46.48102718995857,"{0: 15, 1: 15, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,4.063378733912099,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
