trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.98844035304717,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-164.48051914246696,"{0: 17, 1: 1, 2: 8, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.25}",20,6,-24.62715367152539,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.1111111111111111}",20,0,-48.01937317217947,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.0625}",20,0,14.026620926011383,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.04}",30,0,-141.85360699266826,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.027777777777777776}",20,0,-0.8296611301032253,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.02040816326530612}",20,0,-56.576219036326115,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.015625}",25,0,-8.801295635901612,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.012345679012345678}",20,0,4.652095362355409,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.01}",25,0,-115.87237896314687,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.008264462809917356}",20,0,16.628969617961506,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.006944444444444444}",20,0,22.906793128113463,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.005917159763313609}",20,0,-116.68969437363411,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.00510204081632653}",25,0,-39.72790535780202,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.0044444444444444444}",25,0,-99.22447805083331,"{0: 20, 1: 1, 2: 0, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.00390625}",30,0,24.92787965914336,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.0034602076124567475}",25,0,-11.69903689809355,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.0030864197530864196}",25,0,-61.506976662949626,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.002770083102493075}",20,0,18.081834710107017,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.0025}",25,0,-76.02543720068454,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.0022675736961451248}",20,0,-14.899266891640005,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.002066115702479339}",25,0,-43.28434201427727,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.001890359168241966}",20,0,-7.139775604391762,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.001736111111111111}",30,0,-39.012505592607624,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.0016}",30,0,16.29506392773032,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.0014792899408284023}",20,0,25.225334821533576,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.0013717421124828531}",25,0,11.615735074101842,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.0012755102040816326}",35,0,-2.632697868667319,"{0: 32, 1: 1, 2: 1, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.0011890606420927466}",20,0,24.519692366092176,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.0011111111111111111}",20,0,11.445993709697092,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.001040582726326743}",25,0,-35.60107399391466,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.0009765625}",20,0,25.210470371088014,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.0009182736455463728}",20,0,29.298318340097534,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.0008650519031141869}",20,0,-78.72399267120684,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.0008163265306122449}",35,0,-47.822466410543846,"{0: 33, 1: 0, 2: 0, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.0007716049382716049}",35,0,47.2194060761604,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.0007304601899196494}",20,6,6.256229961316376,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
