trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-81.49513356852022,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-58.48887104590364,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-90.88192564479718,"{0: 16, 1: 0, 2: 7, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-127.18619359951342,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-155.04798178536544,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-23.03140652420655,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,15,-8.963134705603519,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-60.0889118977967,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-114.05592287792436,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,6,-28.687562936631725,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-148.74516455931206,"{0: 19, 1: 4, 2: 1, 3: 5, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-86.74772395259046,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,5,-70.79688251783033,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-13.727332913700835,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-74.32724105005012,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,8,8.167208865524264,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,12.27632983225966,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,2,8.063577593926576,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-80.61056413999329,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,14,12.708948052705697,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,8,2.270936701231183,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",35,24,-0.769103465781563,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,2,37.60116684934847,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,12,-25.362823248859762,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",25,0,-17.267564003644374,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,0,-14.141361104472283,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-15.545593533973593,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,7,-45.15824935051537,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",30,0,-29.9372624507249,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,3,-11.56409340142543,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
