trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-208.49518129852686,"{0: 8, 1: 1, 2: 7, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8775825618903728}",25,0,-127.66834967036513,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.5403023058681398}",25,0,-55.543100251365715,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.0707372016677029}",25,13,-55.94148697145534,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.4161468365471424}",30,3,-149.06209752523725,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.8011436155469337}",20,0,-40.40236108299029,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9899924966004454}",30,0,-93.82912487665955,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9364566872907963}",20,0,-143.4538100460851,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.6536436208636119}",25,0,-96.87142064671431,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.2107957994307797}",25,0,-106.48961198107853,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.28366218546322625}",30,10,-44.57062597516394,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.70866977429126}",30,0,-216.43115131378016,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 6}",0
13,False,"{'a': 0.5, 'e': 0.960170286650366}",20,0,-132.83945180165122,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9765876257280235}",20,0,-133.88174453537465,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.7539022543433046}",20,0,-78.68561997189073,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.3466353178350258}",20,0,-92.19184378615024,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.14550003380861354}",20,0,-4.390737838679254,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.6020119026848236}",20,6,-36.51266563739638,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.9111302618846769}",20,0,-39.7310226836866,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9971721561963784}",30,0,-127.00359467341443,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8390715290764524}",20,0,-24.66581819659933,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.4755369279959925}",30,0,-142.67668534377904,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
